Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;DNB Cup 3/Junior Cup 1 normal-Points;DNB Cup 3/Junior Cup 1 normal-Time;DNB Cup 3/Junior Cup 1 normal-TimeFormatted;DNB Cup 3/Junior Cup 1 normal-DiffTimeFormatted;DNB Cup 3/Junior Cup 1 sprint-Points;DNB Cup 3/Junior Cup 1 sprint-Time;DNB Cup 3/Junior Cup 1 sprint-TimeFormatted;DNB Cup 3/Junior Cup 1 sprint-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NSSF JR Cup 2 K18-19 liste-Points;NSSF JR Cup 2 K18-19 liste-Time;NSSF JR Cup 2 K18-19 liste-TimeFormatted;NSSF JR Cup 2 K18-19 liste-DiffTimeFormatted;NM JR DNB Cup 4/JR Cup 2-Points;NM JR DNB Cup 4/JR Cup 2-Time;NM JR DNB Cup 4/JR Cup 2-TimeFormatted;NM JR DNB Cup 4/JR Cup 2-DiffTimeFormatted;NM JR /JR Cup 2 K18-19-Points;NM JR /JR Cup 2 K18-19-Time;NM JR /JR Cup 2 K18-19-TimeFormatted;NM JR /JR Cup 2 K18-19-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-Points;DNB Cup 5 / Junior Cup 3 Sprint-Time;DNB Cup 5 / Junior Cup 3 Sprint-TimeFormatted;DNB Cup 5 / Junior Cup 3 Sprint-DiffTimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-Points;DNB Cup 5 / Junior Cup 3  Normal-Time;DNB Cup 5 / Junior Cup 3  Normal-TimeFormatted;DNB Cup 5 / Junior Cup 3  Normal-DiffTimeFormatted;NM Normal -Senior, NM Normal - Junior-Points;NM Normal -Senior, NM Normal - Junior-Time;NM Normal -Senior, NM Normal - Junior-TimeFormatted;NM Normal -Senior, NM Normal - Junior-DiffTimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-Points;DNB Cup 6/Junior Cup 4, 10.03.2018-Time;DNB Cup 6/Junior Cup 4, 10.03.2018-TimeFormatted;DNB Cup 6/Junior Cup 4, 10.03.2018-DiffTimeFormatted;Junior Cup 4 - Sprint M19-Points;Junior Cup 4 - Sprint M19-Time;Junior Cup 4 - Sprint M19-TimeFormatted;Junior Cup 4 - Sprint M19-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-Points;Junior Cup finale 5 - Fellesstart 17-19år-Time;Junior Cup finale 5 - Fellesstart 17-19år-TimeFormatted;Junior Cup finale 5 - Fellesstart 17-19år-DiffTimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-Points;Junior Cup finale 5 - Fellesstart 19-21år-Time;Junior Cup finale 5 - Fellesstart 19-21år-TimeFormatted;Junior Cup finale 5 - Fellesstart 19-21år-DiffTimeFormatted
1;Ukaleq Astri;Slettemark;0;f;Geilo IL;GL;Serie;K17;00:00:00.000;Mål;296.0;OK;1;0;7;4076123;NTG-G;296.0;11707090;3:15:07.0;0:00.000;0;418641;GRL;50.0;2349870;39:09.8;0:00.0;45.0;1272900;21:12.9;0:28.8;32.0;1713500;28:33.5;1:58.2;;;;;24.0;1287900;21:27.9;1:58.6;;;;;;;;;;;;;45.0;2124200;35:24.2;0:24.5;50.0;1137100;18:57.1;0:00.0;;;;;50.0;1821620;30:21.6;0:00.0;;;;
2;Synne;Owren;0;f;Vingrom IL;NO;Serie;K17;00:00:00.000;Mål;272.0;OK;2;0;7;4082960;NTG-L;272.0;11104630;3:05:04.6;10:02.460;0;418641;NOR;19.0;2748860;45:48.8;6:39.0;40.0;1364500;22:44.5;2:00.4;40.0;1643500;27:23.5;0:48.2;;;;;50.0;1169300;19:29.3;0:00.0;;;;;40.0;1295800;21:35.8;0:27.1;40.0;2194990;36:34.9;1:27.4;26.0;2259000;37:39.0;2:39.3;36.0;1177540;19:37.5;0:40.4;;;;;16.0;2119870;35:19.8;4:58.2;;;;
3;Maren;Bakken;0;f;Os IL;NO;Serie;K17;00:00:00.000;Mål;269.0;OK;3;0;7;4441557;NTG-L;269.0;12555960;3:29:15.9;14:08.870;0;418641;NOR;45.0;2486540;41:26.5;2:16.7;26.0;1438700;23:58.7;3:14.6;22.0;1816400;30:16.4;3:41.1;;;;;17.0;1342300;22:22.3;2:53.0;;;;;32.0;1322800;22:02.8;0:54.1;45.0;2121480;35:21.4;0:13.9;50.0;2099700;34:59.7;0:00.0;26.0;1213510;20:13.5;1:16.4;;;;;45.0;1873230;31:13.2;0:51.6;;;;
4;Hedda Thoresen Tretteteig;Bolstad;0;f;Simostranda IL;NO;Serie;K17;00:00:00.000;Mål;250.0;OK;4;0;7;3972236;;250.0;11777700;3:16:17.7;1:10.610;0;418641;NOR;;;;;;;;;36.0;1676900;27:56.9;1:21.6;;;;;40.0;1219300;20:19.3;0:50.0;;;;;45.0;1289900;21:29.9;0:21.2;50.0;2107590;35:07.5;0:00.0;18.0;2331900;38:51.9;3:52.2;32.0;1183440;19:43.4;0:46.3;;;;;29.0;1968670;32:48.6;2:27.0;;;;
5;Amalie Denise;Andersen;0;f;Oslo Skiskytterlag;NO;Serie;K17;00:00:00.000;Mål;248.0;OK;5;0;7;432066;;248.0;11797790;3:16:37.7;1:30.700;0;418641;NOR;29.0;2611850;43:31.8;4:22.0;50.0;1244100;20:44.1;0:00.0;20.0;1849000;30:49.0;4:13.7;;;;;32.0;1253800;20:53.8;1:24.5;;;;;21.0;1364400;22:44.4;1:35.7;6.0;2586190;43:06.1;7:58.6;40.0;2218300;36:58.3;1:58.6;40.0;1169580;19:29.5;0:32.4;;;;;36.0;1935760;32:15.7;1:54.1;;;;
6;Frida Tormodsgard;Dokken;0;f;Svene IL;NO;Serie;K17;00:00:00.000;Mål;239.0;OK;6;0;7;694415;NTG-G;239.0;12204590;3:23:24.5;8:17.500;0;418641;NOR;36.0;2564370;42:44.3;3:34.5;15.0;1474300;24:34.3;3:50.2;45.0;1627300;27:07.3;0:32.0;;;;;29.0;1273400;21:13.4;1:44.1;;;;;50.0;1268700;21:08.7;0:00.0;26.0;2268770;37:48.7;2:41.2;19.0;2324300;38:44.3;3:44.6;21.0;1253440;20:53.4;1:56.3;;;;;32.0;1948610;32:28.6;2:07.0;;;;
7;Mari Andrea Kilskar;Grevskott;0;f;Frol IL;NO;Serie;K17;00:00:00.000;Mål;219.0;OK;7;0;7;4712807;Steinkjer vgs;219.0;13158890;3:39:18.8;24:11.800;0;418641;NOR;32.0;2566080;42:46.0;3:36.2;9.0;1536400;25:36.4;4:52.3;50.0;1595300;26:35.3;0:00.0;;;;;26.0;1277500;21:17.5;1:48.2;;;;;18.0;1405900;23:25.9;2:17.2;36.0;2225380;37:05.3;1:57.8;29.0;2244900;37:24.9;2:25.2;24.0;1227140;20:27.1;1:30.0;;;;;22.0;2022590;33:42.5;3:20.9;;;;
8;Andrine;Bjørkmo;0;f;Bossmo & Ytteren IL;NO;Serie;K17;00:00:00.000;Mål;184.0;OK;8;0;7;694417;;184.0;12283440;3:24:43.4;9:36.350;0;418641;NOR;;;;;;;;;26.0;1763200;29:23.2;2:47.9;;;;;45.0;1218800;20:18.8;0:49.5;;;;;11.0;1472800;24:32.8;3:24.1;29.0;2268160;37:48.1;2:40.6;36.0;2224500;37:04.5;2:04.8;16.0;1312300;21:52.3;2:55.2;;;;;21.0;2023680;33:43.6;3:22.0;;;;
9;Hanna;Børve;0;f;Kvam Langrenn- og Skiskyttarklubb;NO;Serie;K17;00:00:00.000;Mål;184.0;OK;9;0;7;694426;NTG-G;184.0;11800550;3:16:40.5;1:33.460;0;418641;NOR;11.0;2852150;47:32.1;8:22.3;22.0;1451400;24:11.4;3:27.3;;;;;;;;;22.0;1292800;21:32.8;2:03.5;;;;;29.0;1330600;22:10.6;1:01.9;32.0;2244630;37:24.6;2:17.1;22.0;2276200;37:56.2;2:56.5;17.0;1300400;21:40.4;2:43.3;;;;;40.0;1904520;31:44.5;1:22.9;;;;
10;Siri Årsvoll;Undheim;0;f;Figgjo IL;NO;Serie;K17;00:00:00.000;Mål;184.0;OK;10;0;7;4106446;NTG-G;184.0;12215750;3:23:35.7;8:28.660;0;418641;NOR;24.0;2671610;44:31.6;5:21.8;29.0;1417200;23:37.2;2:53.1;15.0;1891100;31:31.1;4:55.8;;;;;36.0;1231800;20:31.8;1:02.5;;;;;26.0;1337000;22:17.0;1:08.3;18.0;2380750;39:40.7;4:33.2;21.0;2300500;38:20.5;3:20.8;29.0;1185470;19:45.4;0:48.3;;;;;19.0;2072170;34:32.1;4:10.5;;;;
