"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"146";"Chardine";"Sloof";"F";"SWE";"";"NC Sprint, 09.01.2016";"K Senior";"25:18.6";"0:00.0";"2016-01-09T10:13:58.6000000";"";"1"
"2";"137";"Marie";"Nørstebø";"F";"NOR";"Svene IL / Team Bardøla";"NC Sprint, 09.01.2016";"K Senior";"25:35.5";"0:16.9";"2016-01-09T10:11:15.4000000";"";"1+0"
"3";"147";"Jori";"Mørkve";"F";"NOR";"Eldar IL";"NC Sprint, 09.01.2016";"K Senior";"25:44.5";"0:25.9";"2016-01-09T10:14:44.9000000";"";"0"
"4";"142";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"NC Sprint, 09.01.2016";"K Senior";"26:05.5";"0:46.9";"2016-01-09T10:13:25.7000000";"";"3"
"5";"135";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"NC Sprint, 09.01.2016";"K Senior";"26:08.1";"0:49.5";"2016-01-09T10:11:08.6440000";"";"1+1"
"6";"151";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NC Sprint, 09.01.2016";"K Senior";"26:17.6";"0:59.0";"2016-01-09T10:16:37.8000000";"";"2+1"
"7";"140";"Heidi Flo";"Bødal";"F";"NOR";"Stårheim IL";"NC Sprint, 09.01.2016";"K Senior";"26:23.7";"1:05.1";"2016-01-09T10:13:03.6000000";"";"2"
"8";"138";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"NC Sprint, 09.01.2016";"K Senior";"26:41.5";"1:22.9";"2016-01-09T10:12:41.5000000";"";"4+2"
"9";"143";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NC Sprint, 09.01.2016";"K Senior";"26:53.1";"1:34.5";"2016-01-09T10:14:33.6000000";"";"0"
"10";"141";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Sprint, 09.01.2016";"K Senior";"27:01.6";"1:43.0";"2016-01-09T10:14:02.0000000";"";"0+2"
"11";"145";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NC Sprint, 09.01.2016";"K Senior";"27:07.0";"1:48.4";"2016-01-09T10:15:27.0000000";"";"2"
"12";"139";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NC Sprint, 09.01.2016";"K Senior";"27:44.9";"2:26.3";"2016-01-09T10:14:05.1000000";"";"1"
"13";"150";"Hege Kne";"Galåen";"F";"NOR";"Røros IL";"NC Sprint, 09.01.2016";"K Senior";"27:46.3";"2:27.7";"2016-01-09T10:17:46.5000000";"";"0"
"14";"152";"Ane Sandaker";"Kvittingen";"F";"NOR";"Geilo IL";"NC Sprint, 09.01.2016";"K Senior";"27:47.8";"2:29.2";"2016-01-09T10:18:28.2000000";"";"3"
"15";"149";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"NC Sprint, 09.01.2016";"K Senior";"28:37.4";"3:18.8";"2016-01-09T10:18:17.3000000";"";"3"
"1";"282";"Marit";"Øygard";"F";"NOR";"Skrautvål IL";"NC Sprint, 09.01.2016";"K17";"22:03.7";"0:00.0";"2016-01-09T10:56:03.8000000";"";"1"
