"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Stage";"Class";"Group";"Total Time";"Total TimeHMS";"Total Time2";"Lap";"Rank Class";"Diff Winner Class";"Rank Gender";"Diff Winner Gender";"Rank Total";"Diff Winner Total";"TimeOfDay";"City";""
"279";"Thekla Charlotte Knudtzon";"Brun-Lie";"F";"NOR";"Oslo Skiskytterlag";"Sprint";"K Senior";"Sprint";"23:49.1";"00:23:49.100";"23:49.1";"1";"1";"0:00.0";"83";"5:42.8";"194";"5:42.8";"2016-02-27T11:26:49.7000000";"";""
"275";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"Sprint";"K Senior";"Sprint";"24:33.7";"00:24:33.700";"24:33.7";"1";"2";"0:44.6";"99";"6:27.4";"248";"6:27.4";"2016-02-27T11:26:13.6000000";"";""
"270";"Marion Huber";"Kaas";"F";"NOR";"Tynset IF";"Sprint";"K Senior";"Sprint";"24:47.4";"00:24:47.400";"24:47.4";"1";"3";"0:58.3";"101";"6:41.1";"261";"6:41.1";"2016-02-27T11:24:47.6000000";"";""
"273";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"Sprint";"K Senior";"Sprint";"24:51.3";"00:24:51.300";"24:51.3";"1";"4";"1:02.2";"104";"6:45.0";"267";"6:45.0";"2016-02-27T11:25:51.9000000";"";""
"283";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"Sprint";"K Senior";"Sprint";"25:22.8";"00:25:22.800";"25:22.8";"1";"5";"1:33.7";"113";"7:16.5";"291";"7:16.5";"2016-02-27T11:29:43.5000000";"";""
"269";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"Sprint";"K Senior";"Sprint";"25:53.5";"00:25:53.500";"25:53.5";"1";"6";"2:04.4";"121";"7:47.2";"311";"7:47.2";"2016-02-27T11:25:34.1000000";"";""
"274";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"Sprint";"K Senior";"Sprint";"26:38.2";"00:26:38.200";"26:38.2";"1";"7";"2:49.1";"132";"8:31.9";"332";"8:31.9";"2016-02-27T11:27:58.4000000";"";""
"280";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"Sprint";"K Senior";"Sprint";"26:47.7";"00:26:47.700";"26:47.7";"1";"8";"2:58.6";"134";"8:41.4";"335";"8:41.4";"2016-02-27T11:30:07.7000000";"";""
"276";"Heidi Flo";"Bødal";"F";"NOR";"";"Sprint";"K Senior";"Sprint";"26:52.1";"00:26:52.100";"26:52.1";"1";"9";"3:03.0";"135";"8:45.8";"338";"8:45.8";"2016-02-27T11:28:52.4000000";"";""
"267";"Julie Sønsteby";"Flaagen";"F";"NOR";"Søndre Ål Sportsklubb / Team Lygna skiskyting";"Sprint";"K Senior";"Sprint";"27:36.7";"00:27:36.700";"27:36.7";"1";"10";"3:47.6";"145";"9:30.4";"354";"9:30.4";"2016-02-27T11:26:37.1000000";"";""
"266";"Anna";"Wikström";"M";"SWE";"";"Sprint";"K Senior";"Sprint";"28:28.6";"00:28:28.600";"28:28.6";"1";"11";"4:39.5";"220";"8:48.4";"367";"10:22.3";"2016-02-27T11:27:08.9000000";"";""
"272";"Kristine";"Vognild";"F";"NOR";"Bjerke IL Ski";"Sprint";"K Senior";"Sprint";"30:33.6";"00:30:33.600";"30:33.6";"1";"12";"6:44.5";"150";"12:27.3";"406";"12:27.3";"2016-02-27T11:31:13.9000000";"";""
"271";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"Sprint";"K Senior";"Sprint";"DSQ";"00:25:53.400";"DSQ";"1";"13";"";"151";"";"484";"";"";"";""
"268";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"Sprint";"K Senior";"Sprint";"DSQ";"00:23:47.600";"DSQ";"1";"14";"";"152";"";"485";"";"";"";""
"324";"Marit";"Øygard";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"Sprint";"K17";"Sprint";"19:01.3";"00:19:01.300";"19:01.3";"1";"1";"0:00.0";"2";"0:55.0";"2";"0:55.0";"2016-02-27T14:02:21.4000000";"";""
"337";"Elvira";"Öberg";"M";"SWE";"";"Sprint";"K17";"Sprint";"19:40.2";"00:19:40.200";"19:40.2";"1";"2";"0:38.9";"1";"0:00.0";"4";"1:33.9";"2016-02-27T14:07:20.2000000";"";""
"333";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL";"Sprint";"K17";"Sprint";"19:54.6";"00:19:54.600";"19:54.6";"1";"3";"0:53.3";"5";"1:48.3";"6";"1:48.3";"2016-02-27T14:06:15.3000000";"";""
"350";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"Sprint";"K17";"Sprint";"20:07.6";"00:20:07.600";"20:07.6";"1";"4";"1:06.3";"8";"2:01.3";"9";"2:01.3";"2016-02-27T14:12:07.9000000";"";""
"362";"Sigrid Flo";"Bødal";"F";"NOR";"Stårheim IL / NTG Lillehammer";"Sprint";"K17";"Sprint";"20:08.6";"00:20:08.600";"20:08.6";"1";"5";"1:07.3";"9";"2:02.3";"10";"2:02.3";"2016-02-27T14:16:08.3000000";"";""
"360";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL / NTG Lillehammer";"Sprint";"K17";"Sprint";"20:09.7";"00:20:09.700";"20:09.7";"1";"6";"1:08.4";"10";"2:03.4";"11";"2:03.4";"2016-02-27T14:15:29.1000000";"";""
