"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Stage";"Class";"Group";"Total Time";"Total TimeHMS";"Total Time2";"Lap";"Rank Class";"Diff Winner Class";"Rank Gender";"Diff Winner Gender";"Rank Total";"Diff Winner Total";"TimeOfDay";"City";""
"92";"Marit";"Øygard";"F";"NOR";"Skrautvål IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"23:43.8";"00:23:43.800";"23:43.8";"1";"1";"0:00.0";"1";"0:00.0";"1";"0:00.0";"2016-04-01T16:23:43.8010000";"";""
"94";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag";"Fellesstart";"Kvinner 17 år";"Fellesstart";"24:18.3";"00:24:18.300";"24:18.3";"1";"2";"0:34.5";"3";"0:34.5";"3";"0:34.5";"2016-04-01T16:24:18.3020000";"";""
"93";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"24:34.9";"00:24:34.900";"24:34.9";"1";"3";"0:51.1";"4";"0:51.1";"4";"0:51.1";"2016-04-01T16:24:34.9030000";"";""
"91";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"25:37.9";"00:25:37.900";"25:37.9";"1";"4";"1:54.1";"6";"1:54.1";"6";"1:54.1";"2016-04-01T16:25:37.9040000";"";""
"106";"Martine";"Lundby";"F";"NOR";"Østre Toten Skilag";"Fellesstart";"Kvinner 17 år";"Fellesstart";"25:47.0";"00:25:47.000";"25:47.0";"1";"5";"2:03.2";"8";"2:03.2";"8";"2:03.2";"2016-04-01T16:25:47.0050000";"";""
"96";"Sigrid Bredde";"VIG";"F";"NOR";"Simostranda IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"26:06.3";"00:26:06.300";"26:06.3";"1";"6";"2:22.5";"9";"2:22.5";"9";"2:22.5";"2016-04-01T16:26:06.3060000";"";""
"98";"Vilde Hagen";"FRIIS";"F";"NOR";"Ål Skiskyttarlag";"Fellesstart";"Kvinner 17 år";"Fellesstart";"26:14.6";"00:26:14.600";"26:14.6";"1";"7";"2:30.8";"10";"2:30.8";"10";"2:30.8";"2016-04-01T16:26:14.6070000";"";""
"103";"Therese Eikrem";"Blindheim";"F";"NOR";"Fossum IF";"Fellesstart";"Kvinner 17 år";"Fellesstart";"26:17.0";"00:26:17.000";"26:17.0";"1";"8";"2:33.2";"11";"2:33.2";"11";"2:33.2";"2016-04-01T16:26:17.0080000";"";""
"102";"Guro Seline";"Herfoss";"F";"NOR";"";"Fellesstart";"Kvinner 17 år";"Fellesstart";"26:47.0";"00:26:47.000";"26:47.0";"1";"9";"3:03.2";"16";"3:03.2";"16";"3:03.2";"2016-04-01T16:26:47.0090000";"";""
"99";"Kristina Hipolan";"Bergmann";"F";"NOR";"";"Fellesstart";"Kvinner 17 år";"Fellesstart";"27:53.2";"00:27:53.210";"27:53.2";"1";"10";"4:09.4";"21";"4:09.4";"21";"4:09.4";"2016-04-01T16:27:53.2100000";"";""
"104";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"28:04.2";"00:28:04.210";"28:04.2";"1";"11";"4:20.4";"24";"4:20.4";"24";"4:20.4";"2016-04-01T16:28:04.2110000";"";""
"100";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"28:24.6";"00:28:24.610";"28:24.6";"1";"12";"4:40.8";"27";"4:40.8";"30";"4:40.8";"2016-04-01T16:28:24.6120000";"";""
"97";"Hanne Eggen";"Persson";"F";"NOR";"Vingrom IL";"Fellesstart";"Kvinner 17 år";"Fellesstart";"28:35.6";"00:28:35.610";"28:35.6";"1";"13";"4:51.8";"28";"4:51.8";"32";"4:51.8";"2016-04-01T16:28:35.6130000";"";""
"101";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag";"Fellesstart";"Kvinner 17 år";"Fellesstart";"28:40.6";"00:28:40.610";"28:40.6";"1";"14";"4:56.8";"29";"4:56.8";"35";"4:56.8";"2016-04-01T16:28:40.6140000";"";""
