"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"208";"Chardine";"Sloof";"F";"SWE";"";"NC Fellesstart Senior, 10.01.2016";"K Senior";"44:09.9";"0:00.0";"2016-01-10T11:15:39.9000000";"";""
"2";"196";"Ane Sandaker";"Kvittingen";"F";"NOR";"Geilo IL";"NC Fellesstart Senior, 10.01.2016";"K Senior";"45:06.4";"0:56.5";"2016-01-10T11:16:36.4000000";"";""
"3";"192";"Jori";"Mørkve";"F";"NOR";"Eldar IL";"NC Fellesstart Senior, 10.01.2016";"K Senior";"45:33.2";"1:23.3";"2016-01-10T11:17:03.2000000";"";""
"4";"195";"Marie";"Nørstebø";"F";"NOR";"Svene IL / Team Bardøla";"NC Fellesstart Senior, 10.01.2016";"K Senior";"47:06.4";"2:56.5";"2016-01-10T11:18:36.4000000";"";""
"5";"193";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"NC Fellesstart Senior, 10.01.2016";"K Senior";"47:20.3";"3:10.4";"2016-01-10T11:18:50.3000000";"";""
"6";"204";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"NC Fellesstart Senior, 10.01.2016";"K Senior";"47:35.4";"3:25.5";"2016-01-10T11:19:05.4000000";"";""
"7";"201";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NC Fellesstart Senior, 10.01.2016";"K Senior";"48:31.4";"4:21.5";"2016-01-10T11:20:01.4000000";"";""
"8";"205";"Heidi Flo";"Bødal";"F";"NOR";"Stårheim IL";"NC Fellesstart Senior, 10.01.2016";"K Senior";"48:54.1";"4:44.2";"2016-01-10T11:20:24.1000000";"";""
"9";"206";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NC Fellesstart Senior, 10.01.2016";"K Senior";"49:10.9";"5:01.0";"2016-01-10T11:20:40.9000000";"";""
"10";"197";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"NC Fellesstart Senior, 10.01.2016";"K Senior";"49:36.2";"5:26.3";"2016-01-10T11:21:06.2000000";"";""
"11";"207";"Hege Kne";"Galåen";"F";"NOR";"Røros IL";"NC Fellesstart Senior, 10.01.2016";"K Senior";"50:19.6";"6:09.7";"2016-01-10T11:21:49.6000000";"";""
"12";"199";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Fellesstart Senior, 10.01.2016";"K Senior";"51:00.1";"6:50.2";"2016-01-10T11:22:30.1000000";"";""
"13";"198";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"NC Fellesstart Senior, 10.01.2016";"K Senior";"51:33.9";"7:24.0";"2016-01-10T11:23:03.9000000";"";""
"14";"203";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NC Fellesstart Senior, 10.01.2016";"K Senior";"51:53.0";"7:43.1";"2016-01-10T11:23:23.0000000";"";""
"15";"194";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NC Fellesstart Senior, 10.01.2016";"K Senior";"53:37.7";"9:27.8";"2016-01-10T11:25:07.7000000";"";""
