"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"421";"Jenny";"Enodd";"F";"NOR";"Budal IL / Trondheim Biathlon Team";"Normal";"K Senior";"53:36.9";"0:00.0";"2018-01-06T15:55:36.4480000";"";"0+1+0+0"
"2";"413";"Eline";"Grue";"F";"NOR";"Kvikne IL";"Normal";"K Senior";"57:58.0";"4:21.1";"2018-01-06T15:56:57.5700000";"";"0+0+0+0"
"3";"417";"Silje";"Bakken";"F";"NOR";"Leik, IL / Trondheim Biathlon Team";"Normal";"K Senior";"58:28.7";"4:51.8";"2018-01-06T15:57:28.6390000";"";"0+1+1+0"
"4";"411";"Mari";"Sverdrup";"F";"NOR";"Dombås IL";"Normal";"K Senior";"58:46.7";"5:09.8";"2018-01-06T15:54:45.6560000";"";"0+0+0+2"
"5";"427";"Sofie";"Rostad";"F";"NOR";"Gjerdrum IL";"Normal";"K Senior";"58:50.5";"5:13.6";"2018-01-06T16:02:49.4440000";"";"1+1+0+0"
"6";"429";"Rikke Hald";"Andersen";"F";"NOR";"Asker SK / Holmenkollen Biathlon";"Normal";"K Senior";"58:50.7";"5:13.8";"2018-01-06T16:00:49.8560000";"";"2+1+1+1"
"7";"418";"Anne Marit";"Bredalen";"F";"NOR";"Åsnes Skiskytterlag / Team Glalaks";"Normal";"K Senior";"59:11.4";"5:34.6";"2018-01-06T15:58:40.7480000";"";"0+0+1+1"
"8";"431";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Glalaks";"Normal";"K Senior";"59:52.1";"6:15.2";"2018-01-06T16:07:51.6420000";"";"0+0+0+0"
"9";"409";"Gunhild Viljugrein";"Stølen";"F";"NOR";"Bærums Skiklub / Trondheim Biathlon Team";"Normal";"K Senior";"59:58.6";"6:21.7";"2018-01-06T15:55:57.7040000";"";"0+0+0+1"
"10";"430";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski";"Normal";"K Senior";"1:00:33.1";"6:56.2";"2018-01-06T16:03:02.2750000";"";"0+3+0+2"
"11";"420";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL";"Normal";"K Senior";"1:00:48.7";"7:11.8";"2018-01-06T15:57:18.4160000";"";"1+2+2+1"
