"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"434";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL";"Sprint";"K Senior";"25:30.3";"0:00.0";"2018-01-07T14:20:28.8610000";"";"3+1"
"2";"430";"Jenny";"Enodd";"F";"NOR";"Budal IL / Trondheim Biathlon Team";"Sprint";"K Senior";"25:34.6";"0:04.3";"2018-01-07T14:19:14.1250000";"";"0+2"
"3";"435";"Ragnhild";"Femsteinevik";"F";"NOR";"Hålandsdal IL";"Sprint";"K Senior";"25:43.7";"0:13.4";"2018-01-07T14:21:03.4610000";"";"0+1"
"4";"423";"Rikke Hald";"Andersen";"F";"NOR";"Asker SK / Holmenkollen Biathlon";"Sprint";"K Senior";"25:45.9";"0:15.6";"2018-01-07T14:17:05.0210000";"";"0+2"
"5";"415";"Anne Marit";"Bredalen";"F";"NOR";"Åsnes Skiskytterlag / Team Glalaks";"Sprint";"K Senior";"26:13.7";"0:43.4";"2018-01-07T14:14:52.9790000";"";"0+1"
"6";"414";"Silje";"Bakken";"F";"NOR";"Leik, IL / Trondheim Biathlon Team";"Sprint";"K Senior";"26:40.0";"1:09.7";"2018-01-07T14:14:59.3740000";"";"0+0"
"7";"432";"Hilde";"Eide";"F";"NOR";"Øystre Slidre SSL";"Sprint";"K Senior";"26:42.7";"1:12.4";"2018-01-07T14:21:01.7630000";"";"0+2"
"8";"425";"Eline";"Grue";"F";"NOR";"Kvikne IL";"Sprint";"K Senior";"26:49.7";"1:19.4";"2018-01-07T14:18:49.7040000";"";"1+0"
"9";"426";"Lene Berg";"Ådlandsvik";"F";"NOR";"Sørskogbygda IL / Team Woodcon";"Sprint";"K Senior";"27:07.4";"1:37.1";"2018-01-07T14:19:26.9710000";"";"2+2"
"10";"418";"Anitra";"Vognild";"F";"NOR";"Bjerke IL Ski";"Sprint";"K Senior";"27:11.9";"1:41.6";"2018-01-07T14:16:51.9820000";"";"0+2"
