"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"280";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"NC Normal";"K Senior";"43:37.7";"0:00.0";"2016-01-23T14:35:38.0000000";"";""
"2";"283";"Jori";"Mørkve";"F";"NOR";"Eldar IL";"NC Normal";"K Senior";"43:38.3";"0:00.6";"2016-01-23T14:37:08.6000000";"";""
"3";"282";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NC Normal";"K Senior";"44:23.8";"0:46.1";"2016-01-23T14:37:24.4000000";"";""
"4";"277";"Marie";"Nørstebø";"F";"NOR";"Svene IL / Team Bardøla";"NC Normal";"K Senior";"44:52.8";"1:15.1";"2016-01-23T14:35:22.8000000";"";""
"5";"276";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Normal";"K Senior";"45:13.8";"1:36.1";"2016-01-23T14:35:14.8000000";"";""
"6";"271";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NC Normal";"K Senior";"46:10.9";"2:33.2";"2016-01-23T14:33:41.1000000";"";""
"7";"269";"Chardine";"Sloof";"F";"SWE";"";"NC Normal";"K Senior";"46:33.0";"2:55.3";"2016-01-23T14:33:03.3000000";"";""
"8";"278";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"NC Normal";"K Senior";"47:24.3";"3:46.6";"2016-01-23T14:38:24.4000000";"";""
"9";"272";"Marion Huber";"Kaas";"F";"NOR";"Tynset IF";"NC Normal";"K Senior";"48:28.9";"4:51.2";"2016-01-23T14:36:29.2000000";"";""
"10";"270";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NC Normal";"K Senior";"50:11.6";"6:33.9";"2016-01-23T14:37:11.7000000";"";""
"11";"268";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NC Normal";"K Senior";"50:13.7";"6:36.0";"2016-01-23T14:36:14.3000000";"";""
"12";"284";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"NC Normal";"K Senior";"50:14.7";"6:37.0";"2016-01-23T14:44:14.3000000";"";""
"13";"281";"Hege Kne";"Galåen";"F";"NOR";"Røros IL";"NC Normal";"K Senior";"51:47.6";"8:09.9";"2016-01-23T14:44:18.1000000";"";""
"14";"275";"Julie Sønsteby";"Flaagen";"F";"NOR";"Søndre Ål Sportsklubb / Team Lygna skiskyting";"NC Normal";"K Senior";"55:57.3";"12:19.6";"2016-01-23T14:45:27.5000000";"";""
"1";"18";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL / NTG Lillehammer";"NC Normal";"K17";"29:04.9";"0:00.0";"2016-01-23T09:53:03.5000000";"";""
"2";"33";"Marit";"Øygard";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"NC Normal";"K17";"29:09.1";"0:04.2";"2016-01-23T10:00:39.2000000";"";""
"3";"10";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Normal";"K17";"29:53.3";"0:48.4";"2016-01-23T09:49:53.9000000";"";""
"4";"8";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag / Heimdal VGS";"NC Normal";"K17";"30:53.6";"1:48.7";"2016-01-23T09:49:53.8000000";"";""
"5";"35";"Hanne Eggen";"Persson";"F";"NOR";"Vingrom IL / NTG Lillehammer";"NC Normal";"K17";"31:14.2";"2:09.3";"2016-01-23T10:03:44.5000000";"";""
"6";"40";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"NC Normal";"K17";"31:28.9";"2:24.0";"2016-01-23T10:06:29.1000000";"";""
"7";"9";"Sigrid Flo";"Bødal";"F";"NOR";"Stårheim IL / NTG Lillehammer";"NC Normal";"K17";"31:39.2";"2:34.3";"2016-01-23T09:51:09.5000000";"";""
"8";"14";"Kristina Hipolan";"Bergmann";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"NC Normal";"K17";"32:00.3";"2:55.4";"2016-01-23T09:54:01.0000000";"";""
"9";"34";"Vilde Hagen";"FRIIS";"F";"NOR";"Ål Skiskyttarlag / NTG Geilo";"NC Normal";"K17";"32:18.3";"3:13.4";"2016-01-23T10:04:18.8000000";"";""
"10";"27";"Sigrid Bredde";"VIG";"F";"NOR";"Simostranda IL / NTG Geilo";"NC Normal";"K17";"32:34.3";"3:29.4";"2016-01-23T10:01:04.4000000";"";""
