"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"371";"Thekla Charlotte Knudtzon";"Brun-Lie";"F";"NOR";"Oslo Skiskytterlag / Holmenkollen Biathlon";"Sprint";"K Senior";"20:18.7";"0:00.0";"2018-02-25T14:07:38.0030000";"";"0+0"
"2";"352";"Ida Emilie";"Herfoss";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"Sprint";"K Senior";"21:16.4";"0:57.7";"2018-02-25T14:02:15.9160000";"";"0+1"
"3";"366";"Lotte";"Lie";"F";"NOR";"Skatval Skilag";"Sprint";"K Senior";"21:35.8";"1:17.1";"2018-02-25T14:07:15.2690000";"";"0+0"
"4";"358";"Jenny";"Enodd";"F";"NOR";"Budal IL / Trondheim Biathlon Team";"Sprint";"K Senior";"21:36.8";"1:18.1";"2018-02-25T14:04:36.6750000";"";"0+2"
"5";"353";"Hilde";"Eide";"F";"NOR";"Øystre Slidre SSL";"Sprint";"K Senior";"21:37.4";"1:18.7";"2018-02-25T14:02:56.8290000";"";"1+0"
"6";"365";"Karoline Offigstad";"Knotten";"F";"NOR";"Vingrom IL";"Sprint";"K Senior";"21:41.1";"1:22.4";"2018-02-25T14:07:00.9890000";"";"0+1"
"7";"380";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"Sprint";"K Senior";"21:50.8";"1:32.1";"2018-02-25T14:12:10.9490000";"";"0+2"
"8";"369";"Rikke Hald";"Andersen";"F";"NOR";"Asker SK / Holmenkollen Biathlon";"Sprint";"K Senior";"22:04.1";"1:45.4";"2018-02-25T14:08:43.9010000";"";"0+2"
"9";"373";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL";"Sprint";"K Senior";"22:11.0";"1:52.3";"2018-02-25T14:10:11.5530000";"";"1+0"
"10";"363";"Eline";"Grue";"F";"NOR";"Kvikne IL";"Sprint";"K Senior";"22:13.1";"1:54.4";"2018-02-25T14:06:53.1310000";"";"1+1"
"11";"350";"Ragnhild";"Femsteinevik";"F";"NOR";"Hålandsdal IL";"Sprint";"K Senior";"22:13.3";"1:54.6";"2018-02-25T14:02:33.3120000";"";"1+0"
"12";"372";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski";"Sprint";"K Senior";"22:22.9";"2:04.2";"2018-02-25T14:10:02.5630000";"";"0+2"
"13";"378";"Gunhild Viljugrein";"Stølen";"F";"NOR";"Bærums Skiklub / Trondheim Biathlon Team";"Sprint";"K Senior";"22:25.1";"2:06.4";"2018-02-25T14:12:04.8710000";"";"0+1"
"14";"377";"Mari";"Sverdrup";"F";"NOR";"Dombås IL";"Sprint";"K Senior";"22:27.1";"2:08.4";"2018-02-25T14:11:46.6410000";"";"0+1"
"15";"357";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Glalaks";"Sprint";"K Senior";"22:31.6";"2:12.9";"2018-02-25T14:05:11.7860000";"";"2+0"
"16";"376";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"Sprint";"K Senior";"22:40.1";"2:21.4";"2018-02-25T14:11:39.7730000";"";"0+2"
"17";"351";"Sofie";"Rostad";"F";"NOR";"Gjerdrum IL";"Sprint";"K Senior";"22:44.9";"2:26.2";"2018-02-25T14:03:24.6990000";"";"1+2"
"18";"375";"Anitra";"Vognild";"F";"NOR";"Bjerke IL Ski";"Sprint";"K Senior";"23:01.8";"2:43.1";"2018-02-25T14:11:41.4860000";"";"1+1"
"19";"367";"Sigrid Bilstad";"Neraasen";"F";"NOR";"Vingrom IL";"Sprint";"K Senior";"23:07.6";"2:48.9";"2018-02-25T14:09:06.9310000";"";"2+1"
"20";"370";"Anne Marit";"Bredalen";"F";"NOR";"Åsnes Skiskytterlag / Team Glalaks";"Sprint";"K Senior";"23:18.5";"2:59.8";"2018-02-25T14:10:18.1600000";"";"1+1"
"21";"379";"Ingvild";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Team Glalaks";"Sprint";"K Senior";"23:37.2";"3:18.5";"2018-02-25T14:13:36.5910000";"";"1+1"
"22";"359";"Sara Ehrenpohl";"Sand (3427446)";"F";"NOR";"Byåsen Skiskytterlag / Trondheim Biathlon Team";"Sprint";"K Senior";"23:49.4";"3:30.7";"2018-02-25T14:07:09.4130000";"";"2+2"
"23";"362";"Mathilde";"Hustoft";"F";"NOR";"Asker SK / Team OASSK";"Sprint";"K Senior";"23:56.8";"3:38.1";"2018-02-25T14:08:15.9800000";"";"0+1"
"24";"360";"Turi Storstrøm";"Thoresen";"F";"NOR";"Alvdal IL";"Sprint";"K Senior";"23:57.4";"3:38.7";"2018-02-25T14:07:37.6540000";"";"2+3"
"25";"374";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL";"Sprint";"K Senior";"23:57.9";"3:39.2";"2018-02-25T14:12:16.8720000";"";"3+3"
"26";"354";"Silje";"Bakken";"F";"NOR";"Leik, IL / Trondheim Biathlon Team";"Sprint";"K Senior";"24:18.1";"3:59.4";"2018-02-25T14:05:57.9190000";"";"2+1"
"27";"356";"Silja Fjærestad";"Hønsi";"F";"NOR";"Vik IL / Team Glalaks";"Sprint";"K Senior";"24:21.8";"4:03.1";"2018-02-25T14:06:41.4820000";"";"3+0"
"28";"364";"Åsne";"Ulvund";"F";"NOR";"Eldar IL / Team Glalaks";"Sprint";"K Senior";"25:07.8";"4:49.1";"2018-02-25T14:10:06.9980000";"";"0+2"
"29";"361";"Anne Katrine";"Tønset";"F";"NOR";"Røros IL";"Sprint";"K Senior";"25:23.5";"5:04.8";"2018-02-25T14:09:23.4710000";"";"0+2"
"30";"355";"Frida Lovise";"Sørmo";"F";"NOR";"Bossmo & Ytteren IL";"Sprint";"K Senior";"26:18.1";"5:59.4";"2018-02-25T14:08:17.7990000";"";"0+1"
