"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"125";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NC Fellesstart, 05.02";"K Senior";"40:28.2";"0:00.0";"2016-02-05T11:10:28.2710000";"";"1+0+0+0"
"2";"127";"Mari";"MUAN";"F";"NOR";"Meldal IL / Team Statkraft Midt-Norge";"NC Fellesstart, 05.02";"K Senior";"41:17.6";"0:49.4";"2016-02-05T11:11:17.6740000";"";"0+0+0+1"
"3";"123";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NC Fellesstart, 05.02";"K Senior";"41:26.8";"0:58.6";"2016-02-05T11:11:26.8090000";"";"1+1+1+1"
"4";"130";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NC Fellesstart, 05.02";"K Senior";"41:29.7";"1:01.5";"2016-02-05T11:11:29.7910000";"";"1+1+1+0"
"5";"129";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"NC Fellesstart, 05.02";"K Senior";"42:07.5";"1:39.3";"2016-02-05T11:12:07.5790000";"";"1+1+1+2"
"6";"126";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Fellesstart, 05.02";"K Senior";"42:21.8";"1:53.6";"2016-02-05T11:12:21.8800000";"";"1+1+0+1"
"7";"128";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NC Fellesstart, 05.02";"K Senior";"42:36.5";"2:08.3";"2016-02-05T11:12:36.5250000";"";"2+1+2+0"
"8";"132";"Mari Stenvold";"Wik";"F";"NOR";"Røros IL";"NC Fellesstart, 05.02";"K Senior";"46:53.4";"6:25.2";"2016-02-05T11:16:53.4070000";"";"2+2+3+0"
"9";"131";"Hege Kne";"Galåen";"F";"NOR";"Røros IL";"NC Fellesstart, 05.02";"K Senior";"0:00.0";"";"";"";""
"10";"122";"Marie";"Nørstebø";"F";"NOR";"Svene IL / Team Bardøla";"NC Fellesstart, 05.02";"K Senior";"0:00.0";"";"";"";""
