"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"339";"Fredrik Arne";"Grusd";"M";"NOR";"Fossum IF / Wang Toppidrett";"NM Normal M19";"M19";"37:19.6";"0:00.0";"2018-03-10T15:22:19.7720000";"";"1+1+0+0"
"2";"327";"Filip Fjeld";"Andersen";"M";"NOR";"Geilo IL";"NM Normal M19";"M19";"37:40.9";"0:21.3";"2018-03-10T15:15:56.3870000";"";"0+1+1+1"
"3";"326";"Lars Hammernes";"Leopold";"M";"NOR";"Asker SK / NTG Geilo";"NM Normal M19";"M19";"37:55.9";"0:36.3";"2018-03-10T15:16:25.8220000";"";"0+2+0+0"
"4";"322";"Johan-Olav";"Botn";"M";"NOR";"Stårheim IL / NTG Lillehammer";"NM Normal M19";"M19";"39:03.9";"1:44.3";"2018-03-10T15:14:03.9450000";"";"2+1+1+0"
"5";"374";"Even";"Mangset";"M";"NOR";"Mjøsski / Team Woodcon";"NM Normal M19";"M19";"39:20.1";"2:00.5";"2018-03-10T15:41:05.2100000";"";"0+1+0+2"
"6";"330";"Eirik Silsand";"Gerhardsen";"M";"NOR";"Tromsø Skiskytterlag / NTG-T";"NM Normal M19";"M19";"40:29.9";"3:10.3";"2018-03-10T15:21:44.7180000";"";"0+0+1+0"
"7";"358";"Odin";"Garli";"M";"NOR";"Sokna IL / NTG Lillehammer";"NM Normal M19";"M19";"40:32.3";"3:12.7";"2018-03-10T15:33:32.6690000";"";"1+1+1+1"
"8";"337";"Simen";"Hårstad";"M";"NOR";"Rennebu IL / NTG Lillehammer";"NM Normal M19";"M19";"40:46.2";"3:26.6";"2018-03-10T15:23:16.2790000";"";"0+2+1+1"
"9";"346";"Sivert";"Bekken";"M";"NOR";"Kvikne IL / Team Toyota Slettum Bil";"NM Normal M19";"M19";"41:04.5";"3:44.9";"2018-03-10T15:27:19.7900000";"";"0+1+3+1"
"10";"355";"Vegard";"Skrede";"M";"NOR";"Hardbagg IL / Stryn Videregående Skole";"NM Normal M19";"M19";"41:19.9";"4:00.3";"2018-03-10T15:32:05.0290000";"";"0+2+1+2"
"11";"328";"Eirik Kjøl";"Tornes";"M";"NOR";"Molde og Omegn IF / NTG Lillehammer";"NM Normal M19";"M19";"41:32.4";"4:12.8";"2018-03-10T15:17:17.7090000";"";"2+3+0+2"
"12";"351";"Aksel Mathias";"Meland";"M";"NOR";"Markane IL / Stryn Videregående Skole";"NM Normal M19";"M19";"41:32.5";"4:12.9";"2018-03-10T15:30:17.8410000";"";"1+3+1+0"
"13";"329";"Ole Christian";"JOHNSRUD";"M";"NOR";"Bjerke IL Ski / NTG Geilo";"NM Normal M19";"M19";"41:44.1";"4:24.5";"2018-03-10T15:20:14.1050000";"";"0+0+3+1"
"14";"324";"Jo Brøste";"Nørstegård";"M";"NOR";"Dombås IL / NTG Lillehammer";"NM Normal M19";"M19";"41:45.2";"4:25.6";"2018-03-10T15:17:00.3820000";"";"2+1+1+1"
"15";"315";"Sigurd";"Leren";"M";"SWE";"Vingelen IL / Team Toyota Slettum Bil";"NM Normal M19";"M19";"41:50.5";"4:30.9";"2018-03-10T15:12:36.0110000";"";"2+0+1+2"
"16";"332";"Halvor";"Skrindo";"M";"NOR";"Ål Skiskyttarlag";"NM Normal M19";"M19";"41:52.8";"4:33.2";"2018-03-10T15:23:23.1340000";"";"0+0+1+1"
"17";"341";"Tobias";"Hægeland";"M";"NOR";"Øvrebø IL / Team iSandnes";"NM Normal M19";"M19";"42:04.2";"4:44.6";"2018-03-10T15:27:19.2150000";"";"0+2+0+1"
"18";"311";"Kristoffer Schulz";"Solum";"M";"NOR";"Simostranda IL / Team Skiguard Buskerud";"NM Normal M19";"M19";"42:35.3";"5:15.7";"2018-03-10T15:12:50.3810000";"";"0+1+0+2"
"19";"334";"Peder";"Owren";"M";"NOR";"Vingrom IL / NTG Lillehammer";"NM Normal M19";"M19";"42:44.8";"5:25.2";"2018-03-10T15:22:14.9940000";"";"1+2+0+3"
"20";"354";"Håkon";"Frøseth";"M";"NOR";"Sokna IL / Meråker Videregående skole";"NM Normal M19";"M19";"42:48.1";"5:28.5";"2018-03-10T15:32:18.2160000";"";"0+2+0+4"
"21";"357";"Emil Andre";"Breivik";"M";"NOR";"IL Bevern / Team Kongsberg";"NM Normal M19";"M19";"42:51.2";"5:31.6";"2018-03-10T15:34:36.4780000";"";"2+0+1+2"
"22";"310";"Sindre";"Gjøsæter";"M";"NOR";"Kvam Langrenn- og Skiskyttarklubb / NTG Geilo";"NM Normal M19";"M19";"43:09.2";"5:49.6";"2018-03-10T15:09:54.2740000";"";"2+2+1+2"
"23";"344";"Sander";"Østensen";"M";"NOR";"Østre Toten Skilag / Team Lygna skiskyting";"NM Normal M19";"M19";"43:29.6";"6:10.0";"2018-03-10T15:28:44.8930000";"";"0+2+0+3"
"24";"338";"Magnus";"Mørk";"M";"NOR";"Ivrig IL / NTG Lillehammer";"NM Normal M19";"M19";"43:37.9";"6:18.3";"2018-03-10T15:24:23.1260000";"";"0+3+2+2"
"25";"335";"Magnus";"STOKKE";"M";"NOR";"Lier IL / Team Skiguard Buskerud";"NM Normal M19";"M19";"43:47.7";"6:28.1";"2018-03-10T15:25:18.1760000";"";"0+1+1+2"
"26";"343";"Thor Arild";"Aas";"M";"NOR";"Birkenes IL / Team iSandnes";"NM Normal M19";"M19";"43:49.8";"6:30.2";"2018-03-10T15:25:35.1360000";"";"2+4+3+0"
"27";"323";"Kristoffer";"Sørnes";"M";"NOR";"Lier IL / NTG Lillehammer";"NM Normal M19";"M19";"43:53.8";"6:34.2";"2018-03-10T15:15:38.6810000";"";"0+2+4+3"
