"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"212";"Ukaleq Astri";"Slettemark";"F";"GRL";"Geilo IL / NTG Geilo";"Fellesstart";"K17";"30:21.7";"0:00.0";"2018-04-07T14:00:21.6210000";"";"0+1+1+1"
"2";"213";"Maren";"Bakken";"F";"NOR";"Os IL / NTG Lillehammer";"Fellesstart";"K17";"31:13.3";"0:51.6";"2018-04-07T14:01:13.2330000";"";"0+1+1+2"
"3";"222";"Hanna";"Børve";"F";"NOR";"Kvam Langrenn- og Skiskyttarklubb / NTG Geilo";"Fellesstart";"K17";"31:44.6";"1:22.9";"2018-04-07T14:01:44.5230000";"";"1+2+1+0"
"4";"214";"Amalie Denise";"Andersen";"F";"NOR";"Oslo Skiskytterlag";"Fellesstart";"K17";"32:15.8";"1:54.1";"2018-04-07T14:02:15.7650000";"";"2+0+2+1"
"5";"215";"Frida Tormodsgard";"Dokken";"F";"NOR";"Svene IL / NTG Geilo";"Fellesstart";"K17";"32:28.7";"2:07.0";"2018-04-07T14:02:28.6120000";"";"1+0+3+3"
"6";"216";"Hedda Thoresen Tretteteig";"Bolstad";"F";"NOR";"Simostranda IL / NTG Geilo";"Fellesstart";"K17";"32:48.7";"2:27.0";"2018-04-07T14:02:48.6710000";"";"0+2+3+1"
"7";"223";"Tuva Aas";"Stræte";"F";"NOR";"Hønefoss Skiskytterklubb / NTG Geilo";"Fellesstart";"K17";"33:09.0";"2:47.4";"2018-04-07T14:03:09.0090000";"";"1+1+3+2"
"8";"224";"Marit";"Østhus";"F";"NOR";"Nor, IL / NTG Lillehammer";"Fellesstart";"K17";"33:17.1";"2:55.4";"2018-04-07T14:03:17.0740000";"";"0+1+2+2"
"9";"217";"Mari Andrea Kilskar";"Grevskott";"F";"NOR";"Frol IL / Steinkjer Videregående Skole";"Fellesstart";"K17";"33:42.6";"3:20.9";"2018-04-07T14:03:42.5940000";"";"0+2+2+3"
"10";"219";"Andrine";"Bjørkmo";"F";"NOR";"Bossmo & Ytteren IL / Team Polarsirkelen";"Fellesstart";"K17";"33:43.7";"3:22.0";"2018-04-07T14:03:43.6850000";"";"2+2+0+1"
"11";"225";"Vilde Kverndal";"Veslegard";"F";"NOR";"Ål Skiskyttarlag / NTG Geilo";"Fellesstart";"K17";"34:07.7";"3:46.1";"2018-04-07T14:04:07.7060000";"";"2+2+2+2"
"12";"218";"Siri Årsvoll";"Undheim";"F";"NOR";"Figgjo IL / NTG Geilo";"Fellesstart";"K17";"34:32.2";"4:10.5";"2018-04-07T14:04:32.1740000";"";"2+1+2+3"
"13";"220";"Mari";"Torsteinsrud";"F";"NOR";"Ål Skiskyttarlag / NTG Geilo";"Fellesstart";"K17";"34:45.7";"4:24.0";"2018-04-07T14:04:45.6320000";"";"3+2+3+3"
"14";"221";"Camilla Helene";"Hals";"F";"NOR";"Try, Idrettslaget";"Fellesstart";"K17";"35:14.2";"4:52.5";"2018-04-07T14:05:14.1830000";"";"1+2+4+2"
"15";"211";"Synne";"Owren";"F";"NOR";"Vingrom IL / NTG Lillehammer";"Fellesstart";"K17";"35:19.9";"4:58.2";"2018-04-07T14:05:19.8750000";"";"4+3+2+2"
"16";"227";"Vilde";"Børseth";"F";"NOR";"Bjerke IL Ski / NTG Lillehammer";"Fellesstart";"K17";"36:11.9";"5:50.2";"2018-04-07T14:06:11.8170000";"";"1+2+2+3"
"17";"229";"Ragnhild Sofie Breimyr";"Hansen";"F";"NOR";"Froland IL / Sirdal Ski Skiskyting";"Fellesstart";"K17";"36:13.5";"5:51.9";"2018-04-07T14:06:13.5010000";"";"0+0+3+2"
"18";"230";"Kristine Gjersvold";"Haug";"F";"NOR";"Byåsen Skiskytterlag / Trondheim Biathlon Team";"Fellesstart";"K17";"37:53.4";"7:31.8";"2018-04-07T14:07:53.4080000";"";"2+3+3+3"
"19";"226";"Andrea Gulaker";"Gjønnes";"F";"NOR";"Oppdal IL / NTG Lillehammer";"Fellesstart";"K17";"40:07.9";"9:46.2";"2018-04-07T14:10:07.8790000";"";"5+2+1+2"
"20";"228";"Mari";"Gåsbakk";"F";"NOR";"Fossum IF";"Fellesstart";"K17";"0:00.0";"";"";"";""
"1";"241";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL / NTG Lillehammer";"Fellesstart";"K18-19";"28:04.5";"0:00.0";"2018-04-07T14:38:04.4350000";"";"0+0+0+0"
"2";"257";"Kristina Hipolan";"Bergmann";"F";"NOR";"Drangedal Idrettslag / Sirdal Ski Skiskyting";"Fellesstart";"K18-19";"29:04.1";"0:59.7";"2018-04-07T14:39:04.1070000";"";"1+0+2+0"
"3";"253";"Åsne";"Skrede";"F";"NOR";"Geilo IL / NTG Geilo";"Fellesstart";"K18-19";"29:22.6";"1:18.1";"2018-04-07T14:39:22.5750000";"";"1+1+1+1"
"4";"246";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"Fellesstart";"K18-19";"29:34.7";"1:30.2";"2018-04-07T14:39:34.6700000";"";"0+1+2+1"
"5";"249";"Sigrid Bredde";"VIG";"F";"NOR";"Simostranda IL / NTG Geilo";"Fellesstart";"K18-19";"29:44.3";"1:39.8";"2018-04-07T14:39:44.2840000";"";"0+2+1+1"
"6";"244";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL / Team Polarsirkelen";"Fellesstart";"K18-19";"30:02.4";"1:57.9";"2018-04-07T14:40:02.3740000";"";"1+1+0+1"
"7";"245";"Marit";"Øygard";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"Fellesstart";"K18-19";"30:09.3";"2:04.8";"2018-04-07T14:40:09.2630000";"";"1+0+1+3"
"8";"248";"Nora Nellie";"Ahlqvist";"F";"NOR";"Trysilgutten IL / Snow Team Trysil";"Fellesstart";"K18-19";"30:09.8";"2:05.4";"2018-04-07T14:40:09.8030000";"";"0+0+1+0"
"9";"258";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL / NTG Geilo";"Fellesstart";"K18-19";"30:15.0";"2:10.5";"2018-04-07T14:40:14.9180000";"";"2+2+1+0"
"10";"247";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag / Trondheim Biathlon Team";"Fellesstart";"K18-19";"30:15.2";"2:10.7";"2018-04-07T14:40:15.1530000";"";"1+0+1+1"
"11";"243";"Sigrid Flo";"Bødal";"F";"NOR";"Stårheim IL / NTG Lillehammer";"Fellesstart";"K18-19";"30:31.8";"2:27.3";"2018-04-07T14:40:31.7890000";"";"1+1+1+0"
"12";"242";"Anne Bunemann";"De Besche";"F";"NOR";"Try, Idrettslaget / Wang Toppidrett";"Fellesstart";"K18-19";"30:52.4";"2:47.9";"2018-04-07T14:40:52.3860000";"";"2+2+0+2"
"13";"250";"Guri";"Sandvold";"F";"NOR";"Tynset IF / Team Toyota Slettum Bil";"Fellesstart";"K18-19";"31:01.9";"2:57.4";"2018-04-07T14:41:01.8650000";"";"1+2+0+2"
"14";"268";"Nora Landerud";"Svingen";"F";"NOR";"Svene IL / NTG Geilo";"Fellesstart";"K18-19";"31:07.6";"3:03.1";"2018-04-07T14:41:07.5200000";"";"1+1+1+0"
"15";"256";"Marte Carlson";"Møller";"F";"NOR";"Trysilgutten IL / Snow Team Trysil";"Fellesstart";"K18-19";"31:25.8";"3:21.3";"2018-04-07T14:41:25.7920000";"";"2+0+0+0"
"16";"251";"Tora Eid";"Løvås";"F";"NOR";"Trondhjems Skiskyttere / Trondheim Biathlon Team";"Fellesstart";"K18-19";"31:44.7";"3:40.2";"2018-04-07T14:41:44.6600000";"";"0+1+2+2"
"17";"269";"Amalie Kristine";"Triumf";"F";"NOR";"Nordreisa Idrettslag / Nordreisa vgs";"Fellesstart";"K18-19";"31:45.0";"3:40.6";"2018-04-07T14:41:45.0010000";"";"0+1+1+0"
"18";"263";"Nora Bakken";"Heiberg";"F";"NOR";"Fossum IF / Wang Toppidrett";"Fellesstart";"K18-19";"31:54.1";"3:49.6";"2018-04-07T14:41:54.0120000";"";"0+1+1+1"
"19";"259";"Siri";"Aas";"F";"NOR";"Birkenes IL / Sirdal Ski Skiskyting";"Fellesstart";"K18-19";"32:02.4";"3:57.9";"2018-04-07T14:42:02.3120000";"";"1+2+1+2"
"20";"270";"Marte Eriksen";"Hensema";"F";"NOR";"Bødalen IF / Team Kongsberg";"Fellesstart";"K18-19";"32:12.1";"4:07.6";"2018-04-07T14:42:12.0310000";"";"1+0+3+0"
"21";"264";"Emma Krogh";"Pedersen";"F";"NOR";"Bardu Idrettslag / Nordreisa vgs";"Fellesstart";"K18-19";"32:23.6";"4:19.1";"2018-04-07T14:42:23.5510000";"";"1+0+1+0"
"22";"265";"Andrine Håstul";"Flom";"F";"NOR";"Drangedal Idrettslag / Meråker Videregående skole";"Fellesstart";"K18-19";"32:26.7";"4:22.2";"2018-04-07T14:42:26.6960000";"";"2+2+0+1"
"23";"261";"Oda Støen";"Kolkinn";"F";"NOR";"Søndre Ål Sportsklubb / Meråker Videregående skole";"Fellesstart";"K18-19";"32:28.0";"4:23.5";"2018-04-07T14:42:27.9160000";"";"1+1+4+0"
"24";"252";"Guro Seline";"Herfoss";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"Fellesstart";"K18-19";"33:17.9";"5:13.4";"2018-04-07T14:43:17.8120000";"";"2+2+0+2"
"25";"255";"Ingrid Kristine";"Wright-Hagen";"F";"NOR";"Åsnes Skiskytterlag / NTG Lillehammer";"Fellesstart";"K18-19";"33:18.0";"5:13.5";"2018-04-07T14:43:17.9170000";"";"0+3+3+1"
"26";"262";"Ingrid";"Idland";"F";"NOR";"Figgjo IL / Team iSandnes";"Fellesstart";"K18-19";"33:50.0";"5:45.5";"2018-04-07T14:43:49.9410000";"";"1+0+2+3"
"27";"254";"Cornelia Zachariassen";"Rørvik";"F";"NOR";"Sandnes Skiskytterlag / Team iSandnes";"Fellesstart";"K18-19";"34:39.8";"6:35.3";"2018-04-07T14:44:39.7160000";"";"1+1+4+3"
"28";"267";"Sara";"Borchgrevink";"F";"NOR";"Fossum IF / Wang Toppidrett";"Fellesstart";"K18-19";"35:09.8";"7:05.3";"2018-04-07T14:45:09.7300000";"";"2+1+3+2"
"29";"266";"Ingvild Tronstad";"Andersen";"F";"NOR";"IL Bevern / Team Kongsberg";"Fellesstart";"K18-19";"0:00.0";"";"";"";""
"30";"260";"Augusta";"Idland";"F";"NOR";"Figgjo IL / Team iSandnes";"Fellesstart";"K18-19";"0:00.0";"";"";"";""
"1";"272";"Ulrik Olsen";"Brimi";"M";"NOR";"Byåsen Skiskytterlag / Trondheim Biathlon Team";"Fellesstart";"M17";"31:44.9";"0:00.0";"2018-04-07T15:21:44.8870000";"";"1+0+0+4"
"2";"271";"Trym Silsand";"Gerhardsen";"M";"NOR";"Tromsø Skiskytterlag / NTG-T";"Fellesstart";"M17";"32:00.6";"0:15.7";"2018-04-07T15:22:00.5620000";"";"1+1+2+1"
"3";"291";"Eirik";"Idland";"M";"NOR";"Figgjo IL / Team iSandnes";"Fellesstart";"M17";"32:19.5";"0:34.6";"2018-04-07T15:22:19.4170000";"";"1+0+3+0"
"4";"284";"Aksel Emil";"Aasbø";"M";"NOR";"Try, Idrettslaget";"Fellesstart";"M17";"32:50.7";"1:05.8";"2018-04-07T15:22:50.6570000";"";"1+0+0+3"
