"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"68";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL";"DNB Cup";"K Senior";"39:54.6";"0:00.0";"2018-02-02T10:12:54.6000000";"";"0+0+0+1"
"2";"61";"Lotte";"Lie";"F";"NOR";"Skatval Skilag";"DNB Cup";"K Senior";"39:56.5";"0:01.9";"2018-02-02T10:12:56.5000000";"";"0+0+1+2"
"3";"72";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski";"DNB Cup";"K Senior";"40:14.8";"0:20.2";"2018-02-02T10:13:14.8000000";"";"0+1+1+1"
"4";"69";"Ida Emilie";"Herfoss";"F";"NOR";"Drangedal Idrettslag - Skiskyt";"DNB Cup";"K Senior";"40:37.6";"0:43.0";"2018-02-02T10:13:37.6000000";"";"0+0+0+2"
"5";"64";"Anne Marit";"Bredalen";"F";"NOR";"Åsnes Skiskytterlag";"DNB Cup";"K Senior";"40:44.4";"0:49.8";"2018-02-02T10:13:44.4000000";"";"0+0+2+0"
"6";"62";"Turi Storstrøm";"Thoresen";"F";"NOR";"Alvdal IL";"DNB Cup";"K Senior";"40:54.2";"0:59.6";"2018-02-02T10:13:54.2000000";"";"0+0+2+2"
"7";"85";"Lene Berg";"Ådlandsvik";"F";"NOR";"Sørskogbygda IL";"DNB Cup";"K Senior";"41:09.2";"1:14.6";"2018-02-02T10:14:09.2000000";"";"2+2+1+1"
"8";"73";"Ragnhild";"Femsteinevik";"F";"NOR";"Hålandsdal IL";"DNB Cup";"K Senior";"41:15.0";"1:20.4";"2018-02-02T10:14:15.0000000";"";"3+1+0+2"
"9";"67";"Rikke Hald";"Andersen";"F";"NOR";"Asker Skiklubb";"DNB Cup";"K Senior";"41:21.2";"1:26.6";"2018-02-02T10:14:21.2000000";"";"0+4+1+1"
"10";"65";"Eline";"Grue";"F";"NOR";"Kvikne IL";"DNB Cup";"K Senior";"41:58.6";"2:04.0";"2018-02-02T10:14:58.6000000";"";"0+3+1+1"
