"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"5";"Paul";"Schommer";"M";"USA";"";"NM Normal Voss - ";"Gjest";"56:30.8";"0:00.0";"2018-03-09T10:09:00.8540000";"";"1+2+1+1"
"2";"6";"Max";"Durtschi";"M";"USA";"";"NM Normal Voss - ";"Gjest";"59:37.3";"3:06.5";"2018-03-09T10:11:37.3180000";"";"3+1+0+2"
"3";"7";"Jake";"Brown";"M";"USA";"";"NM Normal Voss - ";"Gjest";"1:02:07.6";"5:36.8";"2018-03-09T10:11:37.6840000";"";"2+2+3+2"
"1";"133";"Lene Berg";"Ådlandsvik";"F";"NOR";"Sørskogbygda IL / Team Woodcon";"NM Normal Voss - ";"K Senior";"50:30.3";"0:00.0";"2018-03-09T11:11:00.3430000";"";"0+0+0+1"
"2";"134";"Rikke Hald";"Andersen";"F";"NOR";"Asker SK / Holmenkollen Biathlon";"NM Normal Voss - ";"K Senior";"52:35.4";"2:05.1";"2018-03-09T11:12:35.4670000";"";"1+1+0+0"
"3";"152";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Glalaks";"NM Normal Voss - ";"K Senior";"52:40.2";"2:09.9";"2018-03-09T11:22:40.2890000";"";"1+0+0+0"
"4";"130";"Jenny";"Enodd";"F";"NOR";"Budal IL";"NM Normal Voss - ";"K Senior";"52:58.9";"2:28.6";"2018-03-09T11:10:58.9120000";"";"0+1+1+0"
"5";"138";"Ragnhild";"Femsteinevik";"F";"NOR";"Hålandsdal IL";"NM Normal Voss - ";"K Senior";"53:05.6";"2:35.3";"2018-03-09T11:16:05.6210000";"";"0+0+0+1"
"6";"149";"Hilde";"Fenne";"F";"NOR";"Voss Skiskytterlag";"NM Normal Voss - ";"K Senior";"53:41.4";"3:11.1";"2018-03-09T11:17:11.4850000";"";"1+0+2+3"
"7";"132";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL";"NM Normal Voss - ";"K Senior";"54:28.3";"3:58.0";"2018-03-09T11:10:28.3640000";"";"3+1+0+1"
