"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"278";"Thekla Charlotte Knudtzon";"Brun-Lie";"F";"NOR";"Oslo Skiskytterlag";"NM Normal, 26.februar";"K Senior";"53:01.2";"0:00.0";"2016-02-26T12:27:01.7000000";"";""
"2";"273";"Marion Huber";"Kaas";"F";"NOR";"Tynset IF";"NM Normal, 26.februar";"K Senior";"53:34.0";"0:32.8";"2016-02-26T12:25:04.0000000";"";""
"3";"284";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"NM Normal, 26.februar";"K Senior";"55:16.3";"2:15.1";"2016-02-26T12:32:16.9000000";"";""
"4";"282";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NM Normal, 26.februar";"K Senior";"56:41.5";"3:40.3";"2016-02-26T12:32:42.0000000";"";""
"5";"276";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NM Normal, 26.februar";"K Senior";"57:37.0";"4:35.8";"2016-02-26T12:30:38.1000000";"";""
"6";"285";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"NM Normal, 26.februar";"K Senior";"57:42.8";"4:41.6";"2016-02-26T12:35:13.2000000";"";""
"7";"280";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NM Normal, 26.februar";"K Senior";"1:00:40.2";"7:39.0";"2016-02-26T12:35:40.3000000";"";""
"8";"272";"Heidi Flo";"Bødal";"F";"NOR";"";"NM Normal, 26.februar";"K Senior";"1:00:52.7";"7:51.5";"2016-02-26T12:31:52.7000000";"";""
"9";"286";"Anna";"Wikström";"M";"SWE";"";"NM Normal, 26.februar";"K Senior";"1:01:03.0";"8:01.8";"2016-02-26T12:39:03.1000000";"";""
"10";"274";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"NM Normal, 26.februar";"K Senior";"1:01:14.4";"8:13.2";"2016-02-26T12:33:14.4000000";"";""
"11";"277";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"NM Normal, 26.februar";"K Senior";"1:01:24.5";"8:23.3";"2016-02-26T12:34:54.6000000";"";""
"12";"270";"Hege Kne";"Galåen";"F";"NOR";"Røros IL";"NM Normal, 26.februar";"K Senior";"1:03:26.1";"10:24.9";"2016-02-26T12:33:26.1000000";"";""
"13";"281";"Julie Sønsteby";"Flaagen";"F";"NOR";"Søndre Ål Sportsklubb / Team Lygna skiskyting";"NM Normal, 26.februar";"K Senior";"1:05:20.5";"12:19.3";"2016-02-26T12:40:50.9000000";"";""
"14";"275";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NM Normal, 26.februar";"K Senior";"2:00.0";"";"";"";""
"15";"271";"Rikke Hald";"Andersen";"F";"NOR";"Asker SK / Team Statkraft Innlandet";"NM Normal, 26.februar";"K Senior";"0:00.0";"";"";"";""
"16";"0";"Heidi";"Flo Bødal";"F";"NOR";"Stårheim IL";"NM Normal, 26.februar";"K Senior";"0:00.0";"";"";"";""
"17";"283";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NM Normal, 26.februar";"K Senior";"0:00.0";"";"";"";""
"18";"279";"Mari Stenvold";"Wik";"F";"NOR";"Røros IL";"NM Normal, 26.februar";"K Senior";"0:00.0";"";"";"";""
"1";"345";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL";"NM Normal, 26.februar";"K17";"33:08.8";"0:00.0";"2016-02-26T15:02:39.5000000";"";""
"2";"351";"Marit";"Øygard";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"NM Normal, 26.februar";"K17";"36:04.7";"2:55.9";"2016-02-26T15:08:34.6000000";"";""
"3";"370";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL / NTG Lillehammer";"NM Normal, 26.februar";"K17";"36:15.6";"3:06.8";"2016-02-26T15:18:14.6000000";"";""
"4";"346";"Elvira";"Öberg";"M";"SWE";"";"NM Normal, 26.februar";"K17";"36:21.0";"3:12.2";"2016-02-26T15:06:21.1000000";"";""
"5";"362";"Sigrid Flo";"Bødal";"F";"NOR";"Stårheim IL / NTG Lillehammer";"NM Normal, 26.februar";"K17";"36:48.7";"3:39.9";"2016-02-26T15:14:49.4000000";"";""
"6";"352";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"NM Normal, 26.februar";"K17";"38:36.7";"5:27.9";"2016-02-26T15:11:37.2000000";"";""
"7";"343";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NM Normal, 26.februar";"K17";"38:45.7";"5:36.9";"2016-02-26T15:07:15.9000000";"";""
"8";"358";"Kristina Hipolan";"Bergmann";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"NM Normal, 26.februar";"K17";"38:47.3";"5:38.5";"2016-02-26T15:14:47.9000000";"";""
"9";"334";"Tilda";"Johansson";"M";"NOR";"";"NM Normal, 26.februar";"K17";"39:02.0";"5:53.2";"2016-02-26T15:03:02.7000000";"";""
"10";"331";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag / Heimdal VGS";"NM Normal, 26.februar";"K17";"39:04.3";"5:55.5";"2016-02-26T15:01:34.5000000";"";""
"11";"368";"Ingrid Kristine";"Wright-Hagen";"F";"NOR";"Åsnes Skiskytterlag / NTG Lillehammer";"NM Normal, 26.februar";"K17";"39:42.3";"6:33.5";"2016-02-26T15:20:42.2000000";"";""
"12";"337";"Vilde Hagen";"FRIIS";"F";"NOR";"Ål Skiskyttarlag / NTG Geilo";"NM Normal, 26.februar";"K17";"39:45.7";"6:36.9";"2016-02-26T15:05:16.4000000";"";""
"13";"361";"Martine";"Lundby";"F";"NOR";"Østre Toten Skilag";"NM Normal, 26.februar";"K17";"39:58.3";"6:49.5";"2016-02-26T15:17:29.0000000";"";""
"14";"364";"Rikke Gjeitnes";"Dahle";"F";"NOR";"Molde og Omegn IF";"NM Normal, 26.februar";"K17";"40:05.0";"6:56.2";"2016-02-26T15:19:05.2000000";"";""
"15";"356";"Tora Eid";"Løvås";"F";"NOR";"Trondhjems Skiskyttere";"NM Normal, 26.februar";"K17";"40:15.6";"7:06.8";"2016-02-26T15:15:15.2000000";"";""
"16";"353";"Tori";"Angell";"F";"NOR";"Odda IL / Team Glalaks";"NM Normal, 26.februar";"K17";"40:24.7";"7:15.9";"2016-02-26T15:13:55.1000000";"";""
"17";"333";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL / NTG Geilo";"NM Normal, 26.februar";"K17";"40:41.8";"7:33.0";"2016-02-26T15:04:10.8000000";"";""
"18";"328";"Guri";"Sandvold";"F";"NOR";"Tynset IF";"NM Normal, 26.februar";"K17";"40:47.6";"7:38.8";"2016-02-26T15:01:47.6000000";"";""
"19";"359";"Ingrid";"Nordbotten";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"NM Normal, 26.februar";"K17";"41:11.8";"8:03.0";"2016-02-26T15:17:42.4000000";"";""
"20";"344";"Siri";"Aas";"F";"NOR";"Birkenes IL / Sirdal Ski Skiskyting";"NM Normal, 26.februar";"K17";"41:12.7";"8:03.9";"2016-02-26T15:10:13.1000000";"";""
"21";"365";"Maria Munch";"Starheim";"F";"NOR";"Stårheim IL";"NM Normal, 26.februar";"K17";"41:22.5";"8:13.7";"2016-02-26T15:20:52.7000000";"";""
