"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"279";"Thekla Charlotte Knudtzon";"Brun-Lie";"F";"NOR";"Oslo Skiskytterlag";"Sprint";"K Senior";"23:49.1";"0:00.0";"2016-02-27T11:26:49.7000000";"";""
"2";"275";"Maren";"Wangensteen";"F";"NOR";"Vestre Slidre IL / Team Statkraft Innlandet";"Sprint";"K Senior";"24:33.7";"0:44.6";"2016-02-27T11:26:13.6000000";"";""
"3";"270";"Marion Huber";"Kaas";"F";"NOR";"Tynset IF";"Sprint";"K Senior";"24:47.4";"0:58.3";"2016-02-27T11:24:47.6000000";"";""
"4";"273";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"Sprint";"K Senior";"24:51.3";"1:02.2";"2016-02-27T11:25:51.9000000";"";""
"5";"283";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"Sprint";"K Senior";"25:22.8";"1:33.7";"2016-02-27T11:29:43.5000000";"";""
"6";"269";"Karoline";"Næss";"F";"NOR";"Bjerke IL Ski / Team Statkraft Oslofjord";"Sprint";"K Senior";"25:53.5";"2:04.4";"2016-02-27T11:25:34.1000000";"";""
"7";"274";"Heidi";"Berlandstveit";"F";"NOR";"Hålandsdal IL / Sirdal Ski Skiskyting";"Sprint";"K Senior";"26:38.2";"2:49.1";"2016-02-27T11:27:58.4000000";"";""
"8";"280";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"Sprint";"K Senior";"26:47.7";"2:58.6";"2016-02-27T11:30:07.7000000";"";""
"9";"276";"Heidi Flo";"Bødal";"F";"NOR";"";"Sprint";"K Senior";"26:52.1";"3:03.0";"2016-02-27T11:28:52.4000000";"";""
"10";"267";"Julie Sønsteby";"Flaagen";"F";"NOR";"Søndre Ål Sportsklubb / Team Lygna skiskyting";"Sprint";"K Senior";"27:36.7";"3:47.6";"2016-02-27T11:26:37.1000000";"";""
"11";"266";"Anna";"Wikström";"M";"SWE";"";"Sprint";"K Senior";"28:28.6";"4:39.5";"2016-02-27T11:27:08.9000000";"";""
"12";"272";"Kristine";"Vognild";"F";"NOR";"Bjerke IL Ski";"Sprint";"K Senior";"30:33.6";"6:44.5";"2016-02-27T11:31:13.9000000";"";""
"13";"271";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"Sprint";"K Senior";"25:53.4";"";"";"";""
"14";"268";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"Sprint";"K Senior";"23:47.6";"";"";"";""
"1";"324";"Marit";"Øygard";"F";"NOR";"Skrautvål IL / Team Valdres Ski";"Sprint";"K17";"19:01.3";"0:00.0";"2016-02-27T14:02:21.4000000";"";""
"2";"337";"Elvira";"Öberg";"M";"SWE";"";"Sprint";"K17";"19:40.2";"0:38.9";"2016-02-27T14:07:20.2000000";"";""
"3";"333";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL";"Sprint";"K17";"19:54.6";"0:53.3";"2016-02-27T14:06:15.3000000";"";""
"4";"350";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"Sprint";"K17";"20:07.6";"1:06.3";"2016-02-27T14:12:07.9000000";"";""
"5";"362";"Sigrid Flo";"Bødal";"F";"NOR";"Stårheim IL / NTG Lillehammer";"Sprint";"K17";"20:08.6";"1:07.3";"2016-02-27T14:16:08.3000000";"";""
"6";"360";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL / NTG Lillehammer";"Sprint";"K17";"20:09.7";"1:08.4";"2016-02-27T14:15:29.1000000";"";""
"7";"331";"Marte Lien";"Johnsen";"F";"NOR";"Byåsen Skiskytterlag / Heimdal VGS";"Sprint";"K17";"20:29.9";"1:28.6";"2016-02-27T14:06:10.1000000";"";""
"8";"325";"Martine";"Lundby";"F";"NOR";"Østre Toten Skilag";"Sprint";"K17";"20:35.2";"1:33.9";"2016-02-27T14:04:15.7000000";"";""
"9";"338";"Ingrid";"Nordbotten";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"Sprint";"K17";"20:35.8";"1:34.5";"2016-02-27T14:08:36.3000000";"";""
"10";"367";"Ingrid Kristine";"Wright-Hagen";"F";"NOR";"Åsnes Skiskytterlag / NTG Lillehammer";"Sprint";"K17";"20:37.4";"1:36.1";"2016-02-27T14:18:17.8000000";"";""
"11";"348";"Kristina Hipolan";"Bergmann";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"Sprint";"K17";"20:37.5";"1:36.2";"2016-02-27T14:11:58.4000000";"";""
"12";"351";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL / NTG Geilo";"Sprint";"K17";"20:41.8";"1:40.5";"2016-02-27T14:13:01.3000000";"";""
"13";"326";"Vilde Hagen";"FRIIS";"F";"NOR";"Ål Skiskyttarlag / NTG Geilo";"Sprint";"K17";"20:43.3";"1:42.0";"2016-02-27T14:04:43.9000000";"";""
"14";"359";"Tora Eid";"Løvås";"F";"NOR";"Trondhjems Skiskyttere";"Sprint";"K17";"20:56.7";"1:55.4";"2016-02-27T14:15:56.4000000";"";""
"15";"339";"Therese Eikrem";"Blindheim";"F";"NOR";"Fossum IF / Wang Toppidrett";"Sprint";"K17";"20:56.9";"1:55.6";"2016-02-27T14:09:17.1000000";"";""
"16";"370";"Guro Hennissen";"Hermann";"F";"NOR";"Stiklestad IL / Steinkjer Videregående Skole";"Sprint";"K17";"20:58.3";"1:57.0";"2016-02-27T14:19:38.7000000";"";""
"17";"341";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"Sprint";"K17";"21:14.1";"2:12.8";"2016-02-27T14:10:14.6000000";"";""
"18";"364";"Veronica Berget";"Doseth";"F";"NOR";"Dombås IL";"Sprint";"K17";"21:28.2";"2:26.9";"2016-02-27T14:18:08.9000000";"";""
"19";"334";"Guri";"Sandvold";"F";"NOR";"Tynset IF";"Sprint";"K17";"21:30.2";"2:28.9";"2016-02-27T14:08:10.8000000";"";""
"20";"345";"Hanne Eggen";"Persson";"F";"NOR";"Vingrom IL / NTG Lillehammer";"Sprint";"K17";"21:34.9";"2:33.6";"2016-02-27T14:11:54.7000000";"";""
"21";"346";"Rikke Gjeitnes";"Dahle";"F";"NOR";"Molde og Omegn IF";"Sprint";"K17";"21:35.6";"2:34.3";"2016-02-27T14:12:15.6000000";"";""
"22";"327";"Maria Munch";"Starheim";"F";"NOR";"Stårheim IL";"Sprint";"K17";"21:36.8";"2:35.5";"2016-02-27T14:05:57.0000000";"";""
"23";"342";"Siri";"Aas";"F";"NOR";"Birkenes IL / Sirdal Ski Skiskyting";"Sprint";"K17";"21:41.9";"2:40.6";"2016-02-27T14:11:02.6000000";"";""
"24";"323";"Tilda";"Johansson";"M";"NOR";"";"Sprint";"K17";"21:52.5";"2:51.2";"2016-02-27T14:04:53.3000000";"";""
"25";"353";"Hildegunn";"Vekseth";"F";"NOR";"Snåsa Skiskytterlag";"Sprint";"K17";"22:08.7";"3:07.4";"2016-02-27T14:15:09.0000000";"";""
"26";"340";"Stine";"Bratteng";"F";"NOR";"Nittedal Skiskytterlag / NTG Lillehammer";"Sprint";"K17";"22:13.5";"3:12.2";"2016-02-27T14:10:54.3000000";"";""
"27";"329";"Sara Holm";"Lægreid";"F";"NOR";"Bærums Skiklub / Wang Toppidrett";"Sprint";"K17";"22:26.0";"3:24.7";"2016-02-27T14:07:26.0000000";"";""
"28";"369";"Tori";"Angell";"F";"NOR";"Odda IL / Team Glalaks";"Sprint";"K17";"22:32.8";"3:31.5";"2016-02-27T14:20:53.3000000";"";""
"29";"365";"Tonje Bruem";"Reistad";"F";"NOR";"Stiklestad IL / Steinkjer Videregående Skole";"Sprint";"K17";"22:39.4";"3:38.1";"2016-02-27T14:19:39.7000000";"";""
"30";"328";"Guro Seline";"Herfoss";"F";"NOR";"Drangedal Idrettslag / Team TeVe";"Sprint";"K17";"23:02.0";"4:00.7";"2016-02-27T14:07:42.0000000";"";""
"31";"349";"Malin";"Jøranli";"F";"NOR";"Nordre Land IL / Team Valdres Ski";"Sprint";"K17";"23:12.9";"4:11.6";"2016-02-27T14:14:53.3000000";"";""
"32";"330";"Ingrid Stølan";"Husøy";"F";"NOR";"Molde og Omegn IF";"Sprint";"K17";"23:13.6";"4:12.3";"2016-02-27T14:08:34.7000000";"";""
"33";"344";"Sunniva";"Sørheim";"F";"NOR";"Idrettslaget Dyre Vaa / Team TeVe";"Sprint";"K17";"23:19.2";"4:17.9";"2016-02-27T14:13:19.5000000";"";""
"34";"357";"Cornelia Zachariassen";"Rørvik";"F";"NOR";"Sandnes Skiskytterlag / Sirdal Ski Skiskyting";"Sprint";"K17";"23:24.1";"4:22.8";"2016-02-27T14:17:44.6000000";"";""
"35";"363";"Andrine Håstul";"Flom";"F";"NOR";"Drangedal Idrettslag / Meråker Videregående skole";"Sprint";"K17";"23:26.3";"4:25.0";"2016-02-27T14:19:47.1000000";"";""
"36";"356";"Nora Landerud";"Svingen";"F";"NOR";"Svene IL / NTG Geilo";"Sprint";"K17";"23:40.0";"4:38.7";"2016-02-27T14:17:40.3000000";"";""
"37";"371";"Amalie Kristine";"Triumf";"F";"NOR";"Nordreisa Idrettslag / Nordreisa vgs";"Sprint";"K17";"23:46.6";"4:45.3";"2016-02-27T14:22:47.2000000";"";""
"38";"347";"Idunn Raade";"Olsen";"F";"NOR";"Tromsø Skiskytterlag / NTG-T";"Sprint";"K17";"23:53.5";"4:52.2";"2016-02-27T14:14:53.7000000";"";""
