"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";"Penalty"
"1";"92";"Marit";"Øygard";"F";"NOR";"Skrautvål IL";"Fellesstart";"Kvinner 17 år";"23:43.8";"0:00.0";"2016-04-01T16:23:43.8010000";"";""
"2";"94";"Hilde";"Fosse";"F";"NOR";"Voss Skiskytterlag";"Fellesstart";"Kvinner 17 år";"24:18.3";"0:34.5";"2016-04-01T16:24:18.3020000";"";""
"3";"93";"Juni";"Arnekleiv";"F";"NOR";"Dombås IL";"Fellesstart";"Kvinner 17 år";"24:34.9";"0:51.1";"2016-04-01T16:24:34.9030000";"";""
"4";"91";"Marthe Kråkstad";"Johansen";"F";"NOR";"Bossmo & Ytteren IL";"Fellesstart";"Kvinner 17 år";"25:37.9";"1:54.1";"2016-04-01T16:25:37.9040000";"";""
"5";"106";"Martine";"Lundby";"F";"NOR";"Østre Toten Skilag";"Fellesstart";"Kvinner 17 år";"25:47.0";"2:03.2";"2016-04-01T16:25:47.0050000";"";""
"6";"96";"Sigrid Bredde";"VIG";"F";"NOR";"Simostranda IL";"Fellesstart";"Kvinner 17 år";"26:06.3";"2:22.5";"2016-04-01T16:26:06.3060000";"";""
"7";"98";"Vilde Hagen";"FRIIS";"F";"NOR";"Ål Skiskyttarlag";"Fellesstart";"Kvinner 17 år";"26:14.6";"2:30.8";"2016-04-01T16:26:14.6070000";"";""
"8";"103";"Therese Eikrem";"Blindheim";"F";"NOR";"Fossum IF";"Fellesstart";"Kvinner 17 år";"26:17.0";"2:33.2";"2016-04-01T16:26:17.0080000";"";""
"9";"102";"Guro Seline";"Herfoss";"F";"NOR";"";"Fellesstart";"Kvinner 17 år";"26:47.0";"3:03.2";"2016-04-01T16:26:47.0090000";"";""
"10";"99";"Kristina Hipolan";"Bergmann";"F";"NOR";"";"Fellesstart";"Kvinner 17 år";"27:53.2";"4:09.4";"2016-04-01T16:27:53.2100000";"";""
"11";"104";"Andrine Øverland";"Hatling";"F";"NOR";"Fana IL";"Fellesstart";"Kvinner 17 år";"28:04.2";"4:20.4";"2016-04-01T16:28:04.2110000";"";""
"12";"100";"Ingrid";"Idland";"F";"NOR";"Figgjo IL";"Fellesstart";"Kvinner 17 år";"28:24.6";"4:40.8";"2016-04-01T16:28:24.6120000";"";""
