"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Stage";"Class";"Group";"Total Time";"Total TimeHMS";"Total Time2";"Lap";"Rank Class";"Diff Winner Class";"Rank Gender";"Diff Winner Gender";"Rank Total";"Diff Winner Total";"TimeOfDay";"City";""
"274";"Jori";"Mørkve";"F";"NOR";"Eldar IL";"NC Sprint";"K Senior";"NC";"20:04.7";"00:20:04.700";"20:04.7";"1";"1";"0:00.0";"76";"4:22.1";"144";"4:22.1";"2016-01-24T13:47:45.4000000";"";""
"269";"Chardine";"Sloof";"F";"SWE";"";"NC Sprint";"K Senior";"NC";"20:07.5";"00:20:07.500";"20:07.5";"1";"2";"0:02.8";"77";"4:24.9";"147";"4:24.9";"2016-01-24T13:46:08.2000000";"";""
"273";"Kristin";"Hjelstuen";"F";"NOR";"Oslo Skiskytterlag / Team Bardøla";"NC Sprint";"K Senior";"NC";"20:25.1";"00:20:25.100";"20:25.1";"1";"3";"0:20.4";"82";"4:42.5";"159";"4:42.5";"2016-01-24T13:47:45.8000000";"";""
"282";"Marie";"Nørstebø";"F";"NOR";"Svene IL / Team Bardøla";"NC Sprint";"K Senior";"NC";"20:25.7";"00:20:25.700";"20:25.7";"1";"4";"0:21.0";"83";"4:43.1";"160";"4:43.1";"2016-01-24T13:50:46.0000000";"";""
"268";"Hanne";"Tingelstad";"F";"NOR";"Tingelstad Skiskytterklubb / Team Statkraft Innlandet";"NC Sprint";"K Senior";"NC";"20:26.0";"00:20:26.000";"20:26.0";"1";"5";"0:21.3";"84";"4:43.4";"161";"4:43.4";"2016-01-24T13:46:06.7000000";"";""
"277";"Astrid Wathne";"Matthiessen";"F";"NOR";"Fana IL / Team Statkraft Midt-Norge";"NC Sprint";"K Senior";"NC";"20:44.4";"00:20:44.400";"20:44.4";"1";"6";"0:39.7";"90";"5:01.8";"183";"5:01.8";"2016-01-24T13:49:25.0000000";"";""
"278";"Marion Huber";"Kaas";"F";"NOR";"Tynset IF";"NC Sprint";"K Senior";"NC";"20:49.6";"00:20:49.600";"20:49.6";"1";"7";"0:44.9";"92";"5:07.0";"189";"5:07.0";"2016-01-24T13:49:50.3000000";"";""
"281";"Tonje Marie";"Skjelstadås";"F";"NOR";"Meråker Skiskytterklubb";"NC Sprint";"K Senior";"NC";"21:02.7";"00:21:02.700";"21:02.7";"1";"8";"0:58.0";"95";"5:20.1";"198";"5:20.1";"2016-01-24T13:51:03.8000000";"";""
"271";"Ingvild";"Sangesland";"F";"NOR";"Øvrebø IL / Team Statkraft Midt-Norge";"NC Sprint";"K Senior";"NC";"21:06.8";"00:21:06.800";"21:06.8";"1";"9";"1:02.1";"96";"5:24.2";"202";"5:24.2";"2016-01-24T13:47:48.0000000";"";""
"280";"Turid";"SALBU";"F";"NOR";"Voss Skiskytterlag / Team Glalaks";"NC Sprint";"K Senior";"NC";"21:21.7";"00:21:21.700";"21:21.7";"1";"10";"1:17.0";"98";"5:39.1";"217";"5:39.1";"2016-01-24T13:51:02.9000000";"";""
