dato,sesong,mesterskap,konkurranse,sted,navn,kjønn,klasse,plassering,treff,bom,sammenlagt plassering,total poeng,total treff,tromscup poeng/treff
01.12.2013,2013/2014,tromscup,Normal,Målselv,Thea Mack Rørvik,Jenter,13-14,2.0,5.0,5.0,1.,700,50,80/5
01.12.2013,2013/2014,tromscup,Normal,Målselv,Marie Nyvoll,Jenter,13-14,3.0,2.0,8.0,2.,620,30,60/2
01.12.2013,2013/2014,tromscup,Normal,Målselv,Anna Lovise Høgbakk,Jenter,13-14,,,,3.,490,31,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Sofia Heim,Jenter,13-14,4.0,7.0,3.0,4.,450,52,50/7
01.12.2013,2013/2014,tromscup,Normal,Målselv,Ingrid Bjørnstadbråten,Jenter,13-14,1.0,8.0,2.0,5.,440,43,100/8
01.12.2013,2013/2014,tromscup,Normal,Målselv,Anna Elise Rikardsen Jaatun,Jenter,13-14,,,,6.,390,31,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Marie Henriette Andersen,Jenter,13-14,,,,8.,247,16,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Alexandra Angelin Valen,Jenter,13-14,,,,9.,240,21,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Vilde Nilsen,Jenter,13-14,,,,10.,94,7,
01.12.2013,2013/2014,tromscup,Normal,Målselv,Lene Engen,Jenter,13-14,,,,11.,52,6,
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Thea Mack Rørvik,Jenter,13-14,2.0,4.0,6.0,1.,700,50,80/4
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Marie Nyvoll,Jenter,13-14,1.0,3.0,7.0,2.,620,30,100/3
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Anna Lovise Høgbakk,Jenter,13-14,3.0,3.0,7.0,3.,490,31,60/3
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Sofia Heim,Jenter,13-14,4.0,7.0,3.0,4.,450,52,50/7
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Ingrid Bjørnstadbråten,Jenter,13-14,5.0,2.0,8.0,5.,440,43,45/2
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Anna Elise Rikardsen Jaatun,Jenter,13-14,6.0,1.0,9.0,6.,390,31,40/1
15.12.2013,2013/2014,tromscup,Fellesstart,Nordreisa,Alexandra Beatrice Valen,Jenter,13-14,,,,7.,281,22,
